Data;PETR4_Var_Resposta;PETR4_Volume_Dia_Anterior;PETR4_Var_Abertura_Hoje_Dia_Anterior;PETR4_Var_Dia_Anterior;IBOV_Var_Dia_Anterior;DOW_JONES_Var_Dia_Anterior;Tx_Selic_Var_Dia_Anterior;Var_Cambio_Nominal_Dia_Anterior;Var_Petroleo_Brent_Dia_Anterior;Google_Buscas_Dia_Anterior;Google_Noticias_Dia_Anterior;Google_Gasolina_Dia_Anterior;PETR4_Var_Positiva_2_dias;PETR4_Var_Negativa_2_dias;PETR4_Var_Maior_1;IBOV_Var_Positiva_2_dias;IBOV_Var_Negativa_2_dias;DOW_JONES_Var_Positiva_2_dias;DOW_JONES_Var_Negativa_2_dias;Petroleo_Brent_Var_Positiva_2_dias;Petroleo_Brent_Var_Negativa_2_dias;Mes_Eleitoral;Mes_Pre_Eleitoral;Mes_Pos_Eleitoral
23/07/2009;1;16.44;0.16;-0.1;-161;158;-0.5;0.009;0.34;132;0;0;0;1;0;0;0;0;0;1;0;0;0;0
24/07/2009;1;23.91;-0.09;0.55;1176.79;67;0;-0.006;2.04;97;0;0;0;0;0;0;0;0;0;1;0;0;0;0
27/07/2009;0;10.22;0.04;0.08;207.93;12;0;-0.004;1.07;68;32;0;1;0;0;1;0;1;0;1;0;0;0;0
28/07/2009;0;11.35;-0.36;-0.04;91.7;-20;0;-0.022;0.49;64;28;0;0;0;0;1;0;1;0;1;0;0;0;0
29/07/2009;0;23.15;-0.19;-0.55;-77.45;-3;0;0.007;-0.93;47;0;0;0;1;0;0;0;0;0;0;0;0;0;0
30/07/2009;1;17.73;0.43;-0.66;-737.01;43;0;0.012;-3.35;32;0;0;0;1;0;0;1;0;1;0;1;0;0;0
31/07/2009;1;14.14;0;0.25;743.9;36;0;-0.011;3.58;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/08/2009;1;13.84;0.38;0.19;287.29;122;0;-0.018;1.59;102;33;0;1;0;0;1;0;1;0;1;0;0;0;0
04/08/2009;0;15.69;-0.15;0.85;1232.09;39;0;-0.04;1.85;100;0;0;1;0;0;1;0;1;0;1;0;0;0;0
05/08/2009;1;16.49;0.1;-0.34;40.26;-42;0;-0.008;0.73;49;39;0;0;0;0;1;0;1;0;1;0;0;0;0
06/08/2009;0;13.18;0.08;0.16;346.01;-16;0;-0.003;1.23;67;36;0;0;0;0;1;0;0;0;1;0;0;0;0
07/08/2009;1;15.02;0.25;-0.33;-629.2;96;0;0.025;-0.68;150;0;0;0;0;0;0;0;0;1;0;0;0;0;0
10/08/2009;1;12.87;-0.08;0.08;574.63;-5;0;-0.019;-1.24;70;0;0;0;0;0;0;0;0;0;0;1;0;0;0
11/08/2009;0;10.4;-0.17;0.08;500.5;-104;0;0.02;-0.09;105;36;0;1;0;0;1;0;0;0;0;1;0;0;0
12/08/2009;1;15.25;0.09;-0.69;-1068.85;103;0;0.009;-1.04;98;100;0;0;0;0;0;0;0;1;0;1;0;0;0
13/08/2009;1;17.42;0.22;0.52;827.1;69;0;-0.01;0.43;66;35;0;0;0;0;0;0;0;0;0;0;0;0;0
14/08/2009;0;18.7;0.01;0.47;459.72;-67;0;-0.017;0.59;99;0;0;1;0;0;1;0;1;0;1;0;0;0;0
17/08/2009;0;16.29;-0.4;-0.11;-409.98;-201;0;0.027;-1.07;105;36;0;0;0;0;0;0;0;0;0;0;0;0;0
18/08/2009;1;23.28;0.15;-0.27;-1419.63;87;0;0.031;-1.87;65;35;0;0;1;0;0;1;0;1;0;1;0;0;0
19/08/2009;1;15.55;-0.33;0.25;530.55;69;0;-0.036;1.83;110;32;100;0;0;0;0;0;0;0;0;0;0;0;0
20/08/2009;1;19.56;0.08;0.37;407.36;44;0;-0.006;2.22;95;34;0;1;0;0;1;0;1;0;1;0;0;0;0
21/08/2009;1;13.63;0.31;0.2;675.2;169;0;0.003;-1.26;64;64;0;1;0;0;1;0;1;0;0;0;0;0;0
24/08/2009;0;19.14;0.09;0.45;897.11;4;0;-0.011;0.86;68;63;0;1;0;0;1;0;1;0;0;0;0;0;0
25/08/2009;0;23.17;0.12;-0.18;46.78;30;0;0.011;0.07;80;36;0;0;0;0;1;0;1;0;1;0;0;0;0
